workerid,proliferate.condition,order,response,slide_number_in_experiment,tgrep_id,error
40,condition1,some-a-the-all,"['the', False]",14,103191:13,
40,condition1,some-a-the-all,"['some', False]",15,40349:14,
40,condition1,some-a-the-all,"['the', False]",16,51293:9,
40,condition1,some-a-the-all,"['some', False]",17,61578:4,
30,condition1,,"['Jennifer', 'Jennifer']",1,bot_check,
30,condition1,some-all-a-the,"['the', False]",3,example1,
30,condition1,some-all-a-the,"['the', False]",3,example1,
30,condition1,some-all-a-the,"['a', True]",3,example1,
30,condition1,some-all-a-the,"['all', False]",3,example1,
30,condition1,some-all-a-the,"['the', False]",4,example2,
30,condition1,some-all-a-the,"['some', False]",4,example2,
30,condition1,some-all-a-the,"['all', False]",5,example1,
30,condition1,some-all-a-the,"['all', False]",6,example4,
30,condition1,some-all-a-the,"['the', False]",6,example4,
30,condition1,some-all-a-the,"['the', False]",8,118088:9,
30,condition1,some-all-a-the,"['all', False]",9,130644:22,
30,condition1,some-all-a-the,"['the', False]",10,68569:4,
30,condition1,some-all-a-the,"['all', False]",11,60430:4,
30,condition1,some-all-a-the,"['some', False]",12,61578:4,
30,condition1,some-all-a-the,"['all', False]",13,37508:7,
30,condition1,some-all-a-the,"['the', False]",14,102105:4,
30,condition1,some-all-a-the,"['all', False]",15,103191:13,
30,condition1,some-all-a-the,"['the', False]",16,51293:9,
30,condition1,some-all-a-the,"['all', False]",17,40349:14,
39,condition1,,"['Jessica', 'Jessica']",1,bot_check,
39,condition1,a-all-the-some,"['a', False]",3,example1,
39,condition1,a-all-the-some,"['all', False]",3,example1,
39,condition1,a-all-the-some,"['a', False]",4,example2,
39,condition1,a-all-the-some,"['all', False]",5,example1,
39,condition1,a-all-the-some,"['the', False]",6,example4,
39,condition1,a-all-the-some,"['a', True]",8,60430:4,
39,condition1,a-all-the-some,"['the', False]",9,51293:9,
39,condition1,a-all-the-some,"['the', False]",10,118088:9,
39,condition1,a-all-the-some,"['a', True]",11,103191:13,
39,condition1,a-all-the-some,"['the', False]",12,37508:7,
39,condition1,a-all-the-some,"['the', False]",13,130644:22,
39,condition1,a-all-the-some,"['the', False]",14,61578:4,
39,condition1,a-all-the-some,"['a', False]",15,40349:14,
39,condition1,a-all-the-some,"['the', False]",16,68569:4,
39,condition1,a-all-the-some,"['the', False]",17,102105:4,
31,condition1,,"['Susan', 'Susan']",1,bot_check,
31,condition1,all-a-the-some,"['all', False]",3,example1,
31,condition1,all-a-the-some,"['a', False]",4,example2,
31,condition1,all-a-the-some,"['all', False]",5,example1,
31,condition1,all-a-the-some,"['the', False]",6,example4,
31,condition1,all-a-the-some,"['all', False]",8,103191:13,
31,condition1,all-a-the-some,"['the', False]",9,61578:4,
31,condition1,all-a-the-some,"['the', False]",10,51293:9,
31,condition1,all-a-the-some,"['the', False]",11,37508:7,
31,condition1,all-a-the-some,"['the', False]",12,118088:9,
31,condition1,all-a-the-some,"['the', False]",13,68569:4,
31,condition1,all-a-the-some,"['the', False]",14,102105:4,
31,condition1,all-a-the-some,"['the', False]",15,40349:14,
31,condition1,all-a-the-some,"['all', False]",16,60430:4,
31,condition1,all-a-the-some,"['the', False]",17,130644:22,
36,condition1,,"['Margaret', 'Margaret']",1,bot_check,
36,condition1,the-some-a-all,"['all', False]",3,example1,
36,condition1,the-some-a-all,"['some', False]",4,example2,
36,condition1,the-some-a-all,"['all', False]",5,example1,
36,condition1,the-some-a-all,"['a', False]",6,example4,
36,condition1,the-some-a-all,"['some', False]",8,68569:4,
36,condition1,the-some-a-all,"['the', True]",9,103191:13,
36,condition1,the-some-a-all,"['the', False]",10,51293:9,
36,condition1,the-some-a-all,"['some', False]",11,61578:4,
36,condition1,the-some-a-all,"['the', False]",12,118088:9,
36,condition1,the-some-a-all,"['some', False]",13,40349:14,
36,condition1,the-some-a-all,"['the', False]",14,60430:4,
36,condition1,the-some-a-all,"['a', False]",15,37508:7,
36,condition1,the-some-a-all,"['some', False]",16,102105:4,
36,condition1,the-some-a-all,"['a', False]",17,130644:22,
