"","X","Item_ID","Sentence","ModalPresent","Finite","QuestionType","DegreeQ","SubjectAuxInv","WhAll","QuantifiedSubject","QuantifiedPredicate","Wh","MatVerb","MatVerbPart","Modal","Verb1","Verb2","DeterminerSubject","DeterminerNonSubject","FullWhPhrase","WhNode","WhParse","Question","SentenceParse","WhPhaseType"
"34",34,"144158:74","uh, in fact i, i think 0 the bulls were ahead when i, uh, when i left *t*-1.","no","yes","embedded","no","",NA,"","","when","were","",NA,"left","","the","the","",NA,"(WRB when)","when i, uh, when i left *t*-1","(TOP (S (INTJ (UH Uh)) (, ,) (PP (IN in) (NP (NN fact))) (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP I)) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP I)) (RS (-DFL- \])) (VP (VBP think) (SBAR (-NONE- 0) (S (NP-SBJ (DT the) (NNPS Bulls)) (VP (VBD were) (ADVP-PRD (RB ahead)) (SBAR-TMP (EDITED (RM (-DFL- \[)) (SBAR-TMP (WHADVP (WRB when)) (S-UNF (NP-SBJ (PRP I)))) (, ,) (IP (-DFL- \+))) (INTJ (UH uh)) (, ,) (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP I)) (RS (-DFL- \])) (VP (VBD left) (ADVP-TMP (-NONE- *T*-1))))))))) (. .) (-DFL- E_S)))","monomorphemic"
"35",35,"1773:39","and, uh, she thinks 0 it *exp*-3's pretty funny how often i know all of the words to songs that she's listening to *t*-1 *t*-2,","no","yes","embedded","yes","",NA,"","all","how","thinks","",NA,"know","","","all","how often",NA,"(WRB how)","how often i know all of the words to songs that she's listening to *t*-1 *t*-2","(TOP (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP-SBJ (PRP she)) (VP (VBZ thinks) (SBAR (-NONE- 0) (S (NP-SBJ (NP (PRP it)) (SBAR (-NONE- *EXP*-3))) (VP (BES 's) (ADJP-PRD (RB pretty) (JJ funny)) (SBAR-3 (WHADVP-2 (WRB how) (RB often)) (S (NP-SBJ (PRP I)) (VP (VBP know) (NP (NP (DT all)) (PP (IN of) (NP (NP (DT the) (NNS words)) (PP (IN to) (NP (NP (NNS songs)) (SBAR (WHNP-1 (WDT that)) (S (NP-SBJ (PRP she)) (VP (BES 's) (VP (VBG listening) (PP (IN to) (NP (-NONE- *T*-1)))))))))))) (ADVP-TMP (-NONE- *T*-2))))))))) (, ,) (-DFL- E_S)))","complex"
"36",36,"112458:46","what we do *t*-3 is we have these cribs in the back room where they sleep *t*-2 that *t*-1 are, um, low to the ground","no","yes","relative","no","",NA,"","","where","is","",NA,"sleep","","","these","",NA,"(WRB where)","where they sleep *t*-2","(TOP (S (SBAR-NOM-SBJ (WHNP-3 (WP What)) (S (NP-SBJ (PRP we)) (VP (VBP do) (NP (-NONE- *T*-3))))) (VP (VBZ is) (S-PRD (NP-SBJ (PRP we)) (VP (VBP have) (NP (NP (DT these) (NNS cribs)) (PP-LOC (IN in) (NP (NP (DT the) (NN back) (NN room)) (SBAR (WHADVP-2 (WRB where)) (S (NP-SBJ (PRP they)) (VP (VBP sleep) (ADVP-LOC (-NONE- *T*-2))))))) (SBAR (WHNP-1 (WDT that)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBP are) (, ,) (INTJ (UH um)) (, ,) (ADJP-PRD (JJ low) (PP (IN to) (NP (DT the) (NN ground))))))))))) (-DFL- E_S)))","monomorphemic"
"37",37,"72086:35","and back in those times we pretty much were taught *-1 how * to be responsible *t*-2.","no","yes","embedded","no","",NA,"","","how","taught","",NA,"be","","","","",NA,"(WRB how)","how * to be responsible *t*-2","(TOP (S (CC and) (PP-TMP (ADVP (RB back)) (IN in) (NP (DT those) (NNS times))) (NP-SBJ-1 (PRP we)) (ADVP (RB pretty) (RB much)) (VP (VBD were) (VP (VBN taught) (NP (-NONE- *-1)) (SBAR (WHADVP-2 (WRB how)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB be) (ADJP-PRD (JJ responsible)) (ADVP-MNR (-NONE- *T*-2)))))))) (. .) (-DFL- E_S)))","monomorphemic"
"38",38,"37386:68","see i have, i have a tendency * to, a, adopt teams when i wen-, go to a tea-, uh, go to a town *t*-1.","no","yes","relative","no","",NA,"","","when","adopt","",NA,"wen-","","","a","",NA,"(WRB when)","when i wen-, go to a tea-, uh, go to a town *t*-1","(TOP (S (INTJ (VB see)) (EDITED (RM (-DFL- \[)) (S (NP-SBJ (PRP I)) (VP-UNF (VBP have))) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP I)) (VP (VBP have) (RS (-DFL- \])) (NP (DT a) (NN tendency) (S (NP-SBJ (-NONE- *)) (VP (TO to) (, ,) (EDITED (RM (-DFL- \[)) (VP-UNF (DT a)) (, ,) (IP (-DFL- \+))) (VP (VB adopt) (RS (-DFL- \])) (NP (NNS teams)) (SBAR-TMP (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP I)) (EDITED (RM (-DFL- \[)) (EDITED (RM (-DFL- \[)) (VP-UNF (VBD wen-)) (, ,) (IP (-DFL- \+))) (VP (VBP go) (PP-DIR (IN to) (NP-UNF (DT a) (NN tea-)))) (, ,) (RS (-DFL- \])) (IP (-DFL- \+))) (INTJ (UH uh)) (, ,) (VP (VBP go) (PP-DIR (IN to) (NP (DT a) (NN town))) (ADVP-TMP (-NONE- *T*-1)))))))))) (. .) (RS (-DFL- \])) (-DFL- E_S)))","monomorphemic"
"39",39,"122085:71","because it, at first you'd hear a lot of noise, especially at night you know, when you go to bed *t*-1.","no","yes","embedded","no","",NA,"","","when","hear","",NA,"go","","","a","",NA,"(WRB when)","when you go to bed *t*-1","(TOP (SBAR-PRP (IN because) (S (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP it)) (, ,) (IP (-DFL- \+))) (PP-TMP (IN at) (RS (-DFL- \])) (ADJP (JJ first))) (NP-SBJ (PRP you)) (VP (MD 'd) (VP (VB hear) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN noise)))) (, ,) (PP-TMP (ADVP (RB especially)) (IN at) (NP (NN night))) (PRN (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (SBAR-TMP (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP you)) (VP (VBP go) (PP (IN to) (NP (NN bed))) (ADVP-TMP (-NONE- *T*-1)))))))) (. .) (-DFL- E_S)))","monomorphemic"
"40",40,"147866:25","i mean i don't know how many laws you would have *-1 to have *t*-2.","no","yes","embedded","yes","",NA,"","","how","know","",NA,"have","","","","how many",NA,"(WRB how)","how many laws you would have *-1 to have *t*-2","(TOP (S (PRN (S (NP-SBJ (PRP I)) (VP (VBP mean)))) (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHNP-2 (WHADJP (WRB how) (JJ many)) (NNS laws)) (S (NP-SBJ-1 (PRP you)) (VP (MD would) (VP (VB have) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB have) (NP (-NONE- *T*-2))))))))))) (. .) (-DFL- E_S)))","complex"
"41",41,"165374:11","i know what *t*-1 needs *-2 to be done *-3","no","yes","embedded","no","",NA,"","done","what","know","",NA,"needs","","","","",NA,"(WP what)","what *t*-1 needs *-2 to be done *-3","(TOP (S (NP-SBJ (PRP I)) (VP (VBP know) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ-2 (-NONE- *T*-1)) (VP (VBZ needs) (S (NP-SBJ-3 (-NONE- *-2)) (VP (TO to) (VP (VB be) (VP (VBN done) (NP (-NONE- *-3)))))))))) (-DFL- E_S)))","monomorphemic"
"42",42,"168613:7","but when i've got *-1 to work *-2 to pay my dues and your dues *t*-3 then i don't like you very much anymore.","no","yes","subject","no","",NA,"","","when","","",NA,"'ve","","","","",NA,"(WRB when)","when i've got *-1 to work *-2 to pay my dues and your dues *t*-3","(TOP (S (CC But) (SBAR-TMP (WHADVP-3 (WRB when)) (S (NP-SBJ-1 (PRP I)) (VP (VBP 've) (VP (VBN got) (S (NP-SBJ-2 (-NONE- *-1)) (VP (TO to) (VP (VB work) (S-PRP (NP-SBJ (-NONE- *-2)) (VP (TO to) (VP (VB pay) (NP (NP (PRP$ my) (NNS dues)) (CC and) (NP (PRP$ your) (NNS dues)))))) (ADVP-TMP (-NONE- *T*-3))))))))) (ADVP (RB then)) (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB like) (NP (PRP you)) (ADVP (RB very) (RB much)) (ADVP-TMP (RB anymore)))) (. .) (-DFL- E_S)))","monomorphemic"
"43",43,"122760:31","wh-, i-, what would we do *t*-1 without it?.","no","yes","root","no","yes",NA,"","","what","","",NA,"do","","","","",NA,"(WP what)","wh-, i-, what would we do *t*-1 without it?.","(TOP (SBARQ (EDITED (RM (-DFL- \[)) (WHNP-UNF (WP Wh-)) (, ,) (IP (-DFL- \+))) (EDITED (RM (-DFL- \[)) (X (XX i-)) (, ,) (IP (-DFL- \+)) (RS (-DFL- \]))) (WHNP-1 (WP what)) (RS (-DFL- \])) (SQ (MD would) (NP-SBJ (PRP we)) (VP (VBP do) (NP (-NONE- *T*-1)) (PP (IN without) (NP (PRP it))))) (. ?) (. .) (-DFL- E_S)))","monomorphemic"
"44",44,"120957:97","but i think, uh, 0 i don't know what, what kind of input we're going *-2 to get *t*-1 from the public and how they're going *-3 to go about * doing it *t*-4.","no","yes","embedded","no","",NA,"","","how","know","",NA,"'re","","","what","",NA,"(WRB how)","how they're going *-3 to go about * doing it *t*-4","(TOP (S (CC but) (NP-SBJ (PRP I)) (VP (VBP think) (, ,) (INTJ (UH uh)) (, ,) (SBAR (-NONE- 0) (S (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (SBAR (EDITED (RM (-DFL- \[)) (WHNP (WDT what)) (, ,) (IP (-DFL- \+))) (WHNP-1 (WHNP (WDT what) (RS (-DFL- \])) (NN kind)) (PP (IN of) (NP (NN input)))) (S (NP-SBJ-2 (PRP we)) (VP (VBP 're) (VP (VBG going) (S (NP-SBJ (-NONE- *-2)) (VP (TO to) (VP (VB get) (NP (-NONE- *T*-1)) (PP (IN from) (NP (DT the) (NN public)))))))))) (CC and) (SBAR (WHADVP-4 (WRB how)) (S (NP-SBJ-3 (PRP they)) (VP (VBP 're) (VP (VBG going) (S (NP-SBJ (-NONE- *-3)) (VP (TO to) (VP (VB go) (PP (IN about) (S-NOM (NP-SBJ (-NONE- *)) (VP (VBG doing) (NP (PRP it)))))))) (ADVP-MNR (-NONE- *T*-4)))))))))))) (. .) (-DFL- E_S)))","monomorphemic"
"45",45,"172600:28","when i was single *t*-4 and again when i'm retired *t*-5, i will not mind *-1 paying, uh, what it takes *t*-2 * to keep the schools good.","no","yes","subject","no","",NA,"","","when","","",NA,"'m","","the","the","",NA,"(WRB when)","when i'm retired *t*-5","(TOP (S (SBAR-TMP (SBAR (WHADVP-4 (WRB when)) (S (NP-SBJ (PRP I)) (VP (VBD was) (ADJP-PRD (JJ single)) (ADVP-TMP (-NONE- *T*-4))))) (CC and) (ADVP (RB again)) (SBAR (WHADVP-5 (WRB when)) (S (NP-SBJ (PRP I)) (VP (VBP 'm) (ADJP-PRD (JJ retired)) (ADVP-TMP (-NONE- *T*-5)))))) (, ,) (NP-SBJ-1 (PRP I)) (VP (MD will) (RB not) (VP (VB mind) (S (NP-SBJ (-NONE- *-1)) (VP (VBG paying) (, ,) (INTJ (UH uh)) (, ,) (SBAR-NOM (WHNP-2 (WP what)) (S (NP-SBJ (PRP it)) (VP (VBZ takes) (NP (-NONE- *T*-2)) (S-PRP (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB keep) (S (NP-SBJ (DT the) (NNS schools)) (ADJP-PRD (JJ good))))))))))))) (. .) (-DFL- E_S)))","monomorphemic"
"46",46,"114472:65","what about these telephone callers. sometimes they're door-to-door but usually they're telephone callers who, who *t*-1 want you to basically help them fill out a questionnaire.","no","yes","relative","no","",NA,"","basically","who","","",NA,"want","","","a","",NA,"(WP who)","who, who *t*-1 want you to basically help them fill out a questionnaire","(TOP (FRAG (WHNP (WP What)) (PP (IN about) (NP (NP (DT these) (NN telephone) (NNS callers)) (PRN (. .) (S (S (ADVP-TMP (RB Sometimes)) (NP-SBJ (PRP they)) (VP (VBP 're) (ADJP-PRD (JJ door-to-door)))) (CC but) (S (ADVP-TMP (RB usually)) (NP-SBJ (PRP they)) (VP (VBP 're) (NP-PRD (NN telephone) (NNS callers)))))) (SBAR (EDITED (RM (-DFL- \[)) (WHNP (WP who)) (, ,) (IP (-DFL- \+))) (WHNP-1 (WP who)) (RS (-DFL- \])) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBP want) (S (NP-SBJ (PRP you)) (VP (TO to) (ADVP (RB basically)) (VP (VB help) (S (NP-SBJ (PRP them)) (VP (VB fill) (PRT (RP out)) (NP (DT a) (NN questionnaire)))))))))))) (. .) (-DFL- E_S)))","monomorphemic"
"47",47,"143283:14","* find out where the languages are *t*-1.","no","yes","embedded","no","",NA,"","","where","find","",NA,"are","","the","the","",NA,"(WRB where)","where the languages are *t*-1","(TOP (S (NP-SBJ (-NONE- *)) (VP (VB Find) (PRT (RP out)) (SBAR (WHADVP-1 (WRB where)) (S (NP-SBJ (DT the) (NNS languages)) (VP (VBP are) (ADVP-LOC-PRD (-NONE- *T*-1)))))) (. .) (-DFL- E_S)))","monomorphemic"
"48",48,"170944:54","and, with medicine being the way 0 it is *t*-1, you're extending life where sometimes the quality of living has gone down *t*-2","no","yes","relative","no","",NA,"","gone","where","","",NA,"has","","the","the","",NA,"(WRB where)","where sometimes the quality of living has gone down *t*-2","(TOP (S (CC And) (, ,) (PP (IN with) (S-NOM (NP-SBJ (NN medicine)) (VP (VBG being) (NP-PRD (NP (DT the) (NN way)) (SBAR (WHADVP-1 (-NONE- 0)) (S (NP-SBJ (PRP it)) (VP (VBZ is) (ADVP-MNR-PRD (-NONE- *T*-1))))))))) (, ,) (NP-SBJ (PRP you)) (VP (VBP 're) (VP (VBG extending) (NP (NP (NN life)) (SBAR (WHADVP-2 (WRB where)) (S (ADVP-TMP (RB sometimes)) (NP-SBJ (NP (DT the) (NN quality)) (PP (IN of) (NP (NN living)))) (VP (VBZ has) (VP (VBN gone) (ADVP-DIR (RP down)) (ADVP-LOC (-NONE- *T*-2))))))))) (-DFL- E_S)))","monomorphemic"
"49",49,"101752:4","what's that mean *t*-1?.","no","yes","root","no","yes",NA,"","","what","","",NA,"mean","","that","","",NA,"(WP what)","what's that mean *t*-1?.","(TOP (SBARQ (WHNP-1 (WP what)) (SQ (BES 's) (NP-SBJ (DT that)) (VP (VB mean) (NP (-NONE- *T*-1)))) (. ?) (. .) (-DFL- E_S)))","monomorphemic"
"50",50,"125683:4","what year is it *t*-1?","no","yes","root","no","yes",NA,"","","","","",NA,"","","","","what year",NA,"(WP What)","what year is it *t*-1?","(TOP (SBARQ (WHNP-1 (WP What) (NN year)) (SQ (VBZ is) (NP-SBJ (PRP it)) (NP-PRD (-NONE- *T*-1))) (. ?) (-DFL- E_S)))","complex"
"51",51,"928:47","so there's,, things that *t*-1 invade that second type of privacy where you do know about them *t*-2 and possibly things that *t*-3 invade that second type of privacy without you knowing about it,","no","yes","relative","no","",NA,"","","where","","",NA,"do","","","that","",NA,"(WRB where)","where you do know about them *t*-2","(TOP (S (RB So) (NP-SBJ (EX there)) (VP (BES 's) (, ,) (, ,) (NP-PRD (NP (NP (NNS things)) (SBAR (WHNP-1 (WDT that)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBP invade) (NP (NP (DT that) (JJ second) (NN type)) (PP (IN of) (NP (NN privacy))))))) (SBAR (WHADVP-2 (WRB where)) (S (NP-SBJ (PRP you)) (VP (VBP do) (VP (VB know) (PP (IN about) (NP (PRP them))) (ADVP (-NONE- *T*-2))))))) (CC and) (ADVP (RB possibly)) (NP (NP (NNS things)) (SBAR (WHNP-3 (WDT that)) (S (NP-SBJ (-NONE- *T*-3)) (VP (VBP invade) (NP (NP (DT that) (JJ second) (NN type)) (PP (IN of) (NP (NN privacy)))) (PP (IN without) (S-NOM (NP-SBJ (PRP you)) (VP (VBG knowing) (PP (IN about) (NP (PRP it)))))))))))) (, ,) (-DFL- E_S)))","monomorphemic"
"52",52,"96534:18","*-2 having a daughter who *t*-1 has gone into this, into engineering, i sort of watched progress *-2 to see if she did anything differently than i did.","no","yes","relative","no","",NA,"","gone","who","","",NA,"has","","","this","",NA,"(WP who)","who *t*-1 has gone into this, into engineering","(TOP (S (S-ADV (NP-SBJ (-NONE- *-2)) (VP (VBG having) (NP (NP (DT a) (NN daughter)) (SBAR (WHNP-1 (WP who)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBZ has) (VP (VBN gone) (EDITED (RM (-DFL- \[)) (PP (IN into) (NP (DT this))) (, ,) (IP (-DFL- \+))) (PP (IN into) (NP (NN engineering)))))))))) (, ,) (RS (-DFL- \])) (NP-SBJ-2 (PRP I)) (ADVP (RB sort) (RB of)) (VP (VBD watched) (NP (NN progress)) (S-PRP (NP-SBJ (-NONE- *-2)) (VP (TO to) (VP (VB see) (SBAR (IN if) (S (NP-SBJ (PRP she)) (VP (VBD did) (NP (NN anything)) (ADVP (ADVP (RB differently)) (SBAR (IN than) (S (NP-SBJ (PRP I)) (VP (VBD did)))))))))))) (. .) (-DFL- E_S)))","monomorphemic"
"53",53,"9726:25","but the imagination of, * look what we can do *t*-1","no","yes","relative","no","",NA,"","","what","look","",NA,"do","","","","",NA,"(WP what)","what we can do *t*-1","(TOP (FRAG (CC but) (NP (NP (DT the) (NN imagination)) (PP (IN of) (, ,) (S-IMP-SEZ (NP-SBJ (-NONE- *)) (VP (VB look) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (PRP we)) (VP (MD can) (VP (VB do) (NP (-NONE- *T*-1))))))))))))","monomorphemic"
"54",54,"59176:18","and they can't imagine why we would want *-1 to have children *t*-2.","no","yes","embedded","no","",NA,"","","why","imagine","",NA,"want","","","","",NA,"(WRB why)","why we would want *-1 to have children *t*-2","(TOP (S (CC And) (NP-SBJ (PRP they)) (VP (MD ca) (RB n't) (VP (VB imagine) (SBAR (WHADVP-2 (WRB why)) (S (NP-SBJ-1 (PRP we)) (VP (MD would) (VP (VB want) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB have) (NP (NNS children))))) (ADVP-PRP (-NONE- *T*-2)))))))) (. .) (-DFL- E_S)))","monomorphemic"
"55",55,"21112:39","uh, now i, i don't know who the characters are *t*-1,","no","yes","embedded","no","",NA,"","","who","know","",NA,"are","","the","the","",NA,"(WP who)","who the characters are *t*-1","(TOP (S (INTJ (UH Uh)) (, ,) (ADVP-TMP (RB now)) (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP I)) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP I)) (RS (-DFL- \])) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHNP-1 (WP who)) (S (NP-SBJ (DT the) (NNS characters)) (VP (VBP are) (NP-PRD (-NONE- *T*-1))))))) (, ,) (-DFL- E_S)))","monomorphemic"
"56",56,"116296:10","is that where b y u is *t*-1?","no","yes","embedded","no","",NA,"","","where","is","",NA,"is","","that","","",NA,"(WRB where)","where b y u is *t*-1","(TOP (SQ (VBZ is) (NP-SBJ (DT that)) (SBAR-LOC-PRD (WHADVP-1 (WRB where)) (S (NP-SBJ (NNP B) (NNP Y) (NNP U)) (VP (VBZ is) (ADVP-LOC-PRD (-NONE- *T*-1))))) (. ?) (-DFL- E_S)))","monomorphemic"
"57",57,"41524:18","but i can't remember who it was about *t*-1.","no","yes","embedded","no","",NA,"","","who","remember","",NA,"was","","","","",NA,"(WP who)","who it was about *t*-1","(TOP (S (CC but) (NP-SBJ (PRP I)) (VP (MD ca) (RB n't) (VP (VB remember) (SBAR (WHNP-1 (WP who)) (S (NP-SBJ (PRP it)) (VP (VBD was) (PP-PRD (IN about) (NP (-NONE- *T*-1)))))))) (. .) (-DFL- E_S)))","monomorphemic"
"58",58,"27119:16","and i've seen how their school system works *t*-1","no","yes","embedded","no","",NA,"","","how","seen","",NA,"works","","","","",NA,"(WRB how)","how their school system works *t*-1","(TOP (S (CC and) (NP-SBJ (PRP I)) (VP (VBP 've) (VP (VBN seen) (SBAR (WHADVP-1 (WRB how)) (S (NP-SBJ (PRP$ their) (NN school) (NN system)) (VP (VBZ works) (ADVP-MNR (-NONE- *T*-1))))))) (-DFL- E_S)))","monomorphemic"
"59",59,"68052:82","now, my, my, my wife, my ex-wife, she quit, uh, well, when she was pregnant with the last one *t*-1","no","yes","embedded","no","",NA,"","one","when","quit","",NA,"was","","","the","",NA,"(WRB when)","when she was pregnant with the last one *t*-1","(TOP (S (INTJ (RB Now)) (, ,) (EDITED (RM (-DFL- \[)) (EDITED (RM (-DFL- \[)) (EDITED (RM (-DFL- \[)) (NP-TPC-UNF (PRP$ my)) (, ,) (IP (-DFL- \+))) (NP-TPC-UNF (PRP$ my)) (, ,) (RS (-DFL- \])) (IP (-DFL- \+))) (NP-TPC (PRP$ my) (NN wife)) (, ,) (RS (-DFL- \])) (IP (-DFL- \+))) (NP-TPC (PRP$ my) (NN ex-wife)) (, ,) (RS (-DFL- \])) (NP-SBJ (PRP she)) (VP (VBD quit) (, ,) (INTJ (UH uh)) (, ,) (INTJ (UH well)) (, ,) (SBAR-TMP (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP she)) (VP (VBD was) (ADJP-PRD (JJ pregnant) (PP (IN with) (NP (DT the) (JJ last) (CD one)))) (ADVP-TMP (-NONE- *T*-1)))))) (-DFL- E_S)))","monomorphemic"
"60",60,"118999:23","i do lots of cross stitching when i have time *t*-1","no","yes","embedded","no","",NA,"","","when","do","",NA,"have","","","","",NA,"(WRB when)","when i have time *t*-1","(TOP (S (NP-SBJ (PRP I)) (VP (VBP do) (NP (NP (NNS lots)) (PP (IN of) (NP (NN cross) (NN stitching)))) (SBAR-TMP (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP I)) (VP (VBP have) (NP (NN time)) (ADVP-TMP (-NONE- *T*-1)))))) (-DFL- E_S)))","monomorphemic"
"61",61,"121444:4","who is it *t*-1?","no","yes","root","no","yes",NA,"","","","","",NA,"","","","","",NA,"(WP Who)","who is it *t*-1?","(TOP (SBARQ (WHNP-1 (WP Who)) (SQ (VBZ is) (NP-SBJ (PRP it)) (NP-PRD (-NONE- *T*-1))) (. ?) (-DFL- E_S)))","monomorphemic"
"62",62,"170979:57","uh, i think 0 it's sort of the opposite of what you would want *t*-2 when you buy a car or refrigerator something *t*-1.","no","yes","relative","no","",NA,"","something","when","want","",NA,"buy","","","a","",NA,"(WRB when)","when you buy a car or refrigerator something *t*-1","(TOP (S (INTJ (UH Uh)) (, ,) (NP-SBJ (PRP I)) (VP (VBP think) (SBAR (-NONE- 0) (S (NP-SBJ (PRP it)) (VP (BES 's) (ADVP (RB sort) (RB of)) (NP-PRD (NP (DT the) (NN opposite)) (PP (IN of) (SBAR-NOM (WHNP-2 (WP what)) (S (NP-SBJ (PRP you)) (VP (MD would) (VP (VB want) (NP (-NONE- *T*-2)) (SBAR-TMP (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP you)) (VP (VBP buy) (NP (DT a) (NX (NX (NN car)) (CC or) (NX (NN refrigerator)) (NX (NN something)))) (ADVP-TMP (-NONE- *T*-1))))))))))))))) (. .) (-DFL- E_S)))","monomorphemic"
"63",63,"151664:44","well, you know, i, i can see how they can say in the work place 0 we, you don't want them to smoke *t*-1,","no","yes","embedded","no","",NA,"","","how","see","",NA,"say","","","the","",NA,"(WRB how)","how they can say in the work place 0 we, you don't want them to smoke *t*-1","(TOP (S (INTJ (UH Well)) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP I)) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP I)) (RS (-DFL- \])) (VP (MD can) (VP (VB see) (SBAR (WHADVP-1 (WRB how)) (S (NP-SBJ (PRP they)) (VP (MD can) (VP (VB say) (PP-LOC (IN in) (NP (DT the) (NN work) (NN place))) (SBAR (-NONE- 0) (S (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP we)) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP you)) (RS (-DFL- \])) (VP (VBP do) (RB n't) (VP (VB want) (S (NP-SBJ (PRP them)) (VP (TO to) (VP (VB smoke)))))))) (ADVP-MNR (-NONE- *T*-1)))))))) (, ,) (-DFL- E_S)))","monomorphemic"
"64",64,"79932:19","and there's other times when i just get tired of it *t*-1","no","yes","relative","no","",NA,"","","when","","",NA,"get","","","","",NA,"(WRB when)","when i just get tired of it *t*-1","(TOP (S (CC and) (NP-SBJ (EX there)) (VP (BES 's) (NP-PRD (NP (JJ other) (NNS times)) (SBAR-TMP (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP I)) (ADVP (RB just)) (VP (VBP get) (ADJP-PRD (JJ tired) (PP (IN of) (NP (PRP it)))) (ADVP-TMP (-NONE- *T*-1))))))) (-DFL- E_S)))","monomorphemic"
"65",65,"161840:20","and, uh, that's when you really start *-1 getting into speed *t*-2. you know,","no","yes","embedded","no","",NA,"","","when","","",NA,"start","","that","","",NA,"(WRB when)","when you really start *-1 getting into speed *t*-2","(TOP (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP-SBJ (DT that)) (VP (BES 's) (SBAR-TMP-PRD (WHADVP-2 (WRB when)) (S (NP-SBJ-1 (PRP you)) (ADVP (RB really)) (VP (VBP start) (S (NP-SBJ (-NONE- *-1)) (VP (VBG getting) (PP (IN into) (NP (NN speed))))) (ADVP-TMP (-NONE- *T*-2))))) (PRN (. .) (S (NP-SBJ (PRP You)) (VP (VBP know))))) (, ,) (-DFL- E_S)))","monomorphemic"
